p,b,f,s,u,r,eq,cash,mtm,real,unreal,fees,n,sett,w,l,trips,wr,dd,roi,mkts,open,t0,t1
sim-b019-093,batch-019,placebo_ablation_delayed_entry,placebo-ablation-delayed-entry-b019-093,panel_settled,892,9708.1800,9708.1800,0.0000,-291.8200,0.0000,55.2200,17,17,7,10,17,0.4118,1602.8200,-0.0292,17,0,1742616000,1789358400
sim-b015-027,batch-015,volume_spike_follow,volume-spike-follow-b015-027,panel_settled,893,9707.3600,9707.3600,0.0000,-292.6400,0.0000,104.3500,44,44,24,20,44,0.5455,3785.6400,-0.0293,44,0,1743566400,1788840000
sim-b007-037,batch-007,stop_loss_favorite,stop-loss-favorite-b007-037,panel_settled,894,9706.6800,9706.6800,0.0000,-293.3200,0.0000,50.5300,24,8,6,10,16,0.3750,968.3200,-0.0293,16,0,1742443200,1789185600
sim-b018-079,batch-018,exit_max_loss,exit-max-loss-b018-079,panel_settled,895,9705.4400,9705.4400,0.0000,-294.5600,0.0000,46.1000,22,12,9,8,17,0.5294,1442.5600,-0.0295,17,0,1742443200,1789185600
sim-b018-090,batch-018,exit_random_control,exit-random-control-b018-090,panel_settled,896,9705.0300,9705.0300,0.0000,-294.9700,0.0000,57.5900,30,2,3,13,16,0.1875,298.7500,-0.0295,16,0,1742443200,1789185600
sim-b007-088,batch-007,favorite_exit_reentry,favorite-exit-reentry-b007-088,panel_settled,897,9704.4000,9704.4000,0.0000,-295.6000,0.0000,115.4900,75,5,19,21,40,0.4750,666.6000,-0.0296,14,0,1742443200,1789185600
sim-b018-033,batch-018,exit_breakeven_stop,exit-breakeven-stop-b018-033,panel_settled,898,9704.3200,9704.3200,0.0000,-295.6800,0.0000,54.5300,25,9,5,12,17,0.2941,1002.6800,-0.0296,17,0,1742443200,1788321600
sim-b020-012,batch-020,ensemble_crowd_fade,ensemble-crowd-fade-b020-012,panel_settled,899,9704.1200,9704.1200,0.0000,-295.8800,0.0000,124.7100,40,40,20,20,40,0.5000,3650.8800,-0.0296,40,0,1743998400,1788897600
sim-b018-067,batch-018,exit_partial_take,exit-partial-take-b018-067,panel_settled,900,9702.7500,9702.7500,0.0000,-297.2500,0.0000,46.9500,29,17,10,7,17,0.5882,1050.1603,-0.0297,17,0,1742443200,1789185600
sim-b018-070,batch-018,exit_ladder_take,exit-ladder-take-b018-070,panel_settled,901,9702.3600,9702.3600,0.0000,-297.6400,0.0000,48.3600,51,5,12,4,16,0.7500,442.7900,-0.0298,16,0,1742443200,1789531200
sim-b018-068,batch-018,exit_partial_take,exit-partial-take-b018-068,panel_settled,902,9702.3100,9702.3100,0.0000,-297.6900,0.0000,37.5300,26,16,10,6,16,0.6250,1053.9091,-0.0298,16,0,1742443200,1789185600
sim-b020-080,batch-020,null_matched_rate,null-matched-rate-b020-080,panel_settled,903,9702.1300,9702.1300,0.0000,-297.8700,0.0000,90.9200,32,32,17,15,32,0.5313,3073.8700,-0.0298,32,0,1742616000,1783396800
sim-b018-073,batch-018,exit_ladder_take,exit-ladder-take-b018-073,panel_settled,904,9701.2700,9701.2700,0.0000,-298.7300,0.0000,53.7800,52,6,12,5,17,0.7059,544.2597,-0.0299,17,0,1742443200,1789358400
sim-b020-035,batch-020,consensus_favorite,consensus-favorite-b020-035,panel_settled,905,9701.0000,9701.0000,0.0000,-299.0000,0.0000,29.7400,15,15,9,6,15,0.6000,1379.0000,-0.0299,15,0,1743480000,1789185600
sim-b018-065,batch-018,exit_partial_take,exit-partial-take-b018-065,panel_settled,906,9700.4800,9700.4800,0.0000,-299.5200,0.0000,47.1000,30,17,10,7,17,0.5882,1000.6276,-0.0300,17,0,1742443200,1789185600
sim-b018-039,batch-018,exit_price_target,exit-price-target-b018-039,panel_settled,907,9698.6100,9698.6100,0.0000,-301.3900,0.0000,44.6600,27,7,10,7,17,0.5882,713.9600,-0.0301,17,0,1742443200,1788321600
sim-b018-030,batch-018,exit_breakeven_stop,exit-breakeven-stop-b018-030,panel_settled,908,9697.1400,9697.1400,0.0000,-302.8600,0.0000,46.1400,23,9,5,11,16,0.3125,967.8600,-0.0303,16,0,1742443200,1789185600
sim-b018-032,batch-018,exit_breakeven_stop,exit-breakeven-stop-b018-032,panel_settled,908,9697.1400,9697.1400,0.0000,-302.8600,0.0000,46.1400,23,9,5,11,16,0.3125,967.8600,-0.0303,16,0,1742443200,1789185600
sim-b017-069,batch-017,ladder_average_down,ladder-average-down-b017-069,panel_settled,910,9696.6400,9696.6400,0.0000,-303.3600,0.0000,62.9400,28,16,10,6,16,0.6250,2313.3600,-0.0303,16,0,1742443200,1789185600
sim-b015-073,batch-015,stale_quote_drift,stale-quote-drift-b015-073,panel_settled,911,9696.3800,9696.3800,0.0000,-303.6200,0.0000,19.6500,9,9,5,4,9,0.5556,766.6200,-0.0304,9,0,1756094400,1770008400
sim-b018-031,batch-018,exit_breakeven_stop,exit-breakeven-stop-b018-031,panel_settled,912,9696.3400,9696.3400,0.0000,-303.6600,0.0000,55.0200,26,8,4,13,17,0.2353,903.6600,-0.0304,17,0,1742443200,1788321600
sim-b018-099,batch-018,exit_random_control,exit-random-control-b018-099,panel_settled,913,9696.3300,9696.3300,0.0000,-303.6700,0.0000,63.0700,32,2,4,13,17,0.2353,303.6700,-0.0304,17,0,1742443200,1788926400
sim-b017-080,batch-017,ladder_pyramid,ladder-pyramid-b017-080,panel_settled,914,9695.8300,9695.8300,0.0000,-304.1700,0.0000,35.3300,25,16,10,6,16,0.6250,2202.2900,-0.0304,16,0,1742443200,1789185600
sim-b018-048,batch-018,exit_edge_gone,exit-edge-gone-b018-048,panel_settled,915,9695.6200,9695.6200,0.0000,-304.3800,0.0000,51.1100,23,11,8,9,17,0.4706,1291.3800,-0.0304,17,0,1742443200,1788494400
sim-b007-085,batch-007,favorite_exit_reentry,favorite-exit-reentry-b007-085,panel_settled,916,9695.2100,9695.2100,0.0000,-304.7900,0.0000,103.8100,81,3,12,30,42,0.2857,537.7900,-0.0305,12,0,1742443200,1789272000
sim-b018-028,batch-018,exit_trailing_stop,exit-trailing-stop-b018-028,panel_settled,917,9694.6300,9694.6300,0.0000,-305.3700,0.0000,50.6900,25,7,6,10,16,0.3750,989.3700,-0.0305,16,0,1742443200,1789185600
sim-b007-009,batch-007,favorite_exit,favorite-exit-b007-009,panel_settled,918,9694.5300,9694.5300,0.0000,-305.4700,0.0000,56.5900,30,2,7,9,16,0.4375,305.4700,-0.0305,16,0,1742443200,1789185600
sim-b018-040,batch-018,exit_price_target,exit-price-target-b018-040,panel_settled,919,9692.0500,9692.0500,0.0000,-307.9500,0.0000,34.5400,24,8,10,6,16,0.6250,811.8700,-0.0308,16,0,1742443200,1789185600
sim-b018-060,batch-018,exit_volatility_stop,exit-volatility-stop-b018-060,panel_settled,920,9692.0300,9692.0300,0.0000,-307.9700,0.0000,54.1500,26,6,4,12,16,0.2500,726.9700,-0.0308,16,0,1742443200,1789185600
sim-b014-069,batch-014,time_utc_hour,time-utc-hour-b014-069,panel_settled,921,9691.5900,9691.5900,0.0000,-308.4100,0.0000,49.0000,17,17,9,8,17,0.5294,1660.4100,-0.0308,17,0,1760284800,1788796800
sim-b018-046,batch-018,exit_edge_gone,exit-edge-gone-b018-046,panel_settled,922,9690.7400,9690.7400,0.0000,-309.2600,0.0000,51.1000,23,11,8,9,17,0.4706,1296.2600,-0.0309,17,0,1742443200,1788494400
sim-b019-094,batch-019,placebo_ablation_delayed_entry,placebo-ablation-delayed-entry-b019-094,panel_settled,923,9690.2100,9690.2100,0.0000,-309.7900,0.0000,55.8400,17,17,7,10,17,0.4118,1408.7900,-0.0310,17,0,1742616000,1789358400
sim-b014-039,batch-014,time_horizon_near,time-horizon-near-b014-039,panel_settled,924,9689.5500,9689.5500,0.0000,-310.4500,0.0000,14.3100,8,8,4,4,8,0.5000,701.4500,-0.0310,8,0,1757908800,1789358400
sim-b017-079,batch-017,ladder_pyramid,ladder-pyramid-b017-079,panel_settled,925,9689.3100,9689.3100,0.0000,-310.6900,0.0000,34.8400,22,16,10,6,16,0.6250,1988.4900,-0.0311,16,0,1742443200,1789185600
sim-b012-012,batch-012,logit_scale,logit-scale-b012-012,panel_settled,926,9688.6800,9688.6800,0.0000,-311.3200,0.0000,36.3200,17,17,10,7,17,0.5882,1566.3200,-0.0311,17,0,1742443200,1788321600
sim-b018-083,batch-018,exit_hold_control,exit-hold-control-b018-083,panel_settled,926,9688.6800,9688.6800,0.0000,-311.3200,0.0000,36.3200,17,17,10,7,17,0.5882,1566.3200,-0.0311,17,0,1742443200,1788321600
sim-b010-063,batch-010,favorite_band_wide,favorite-band-wide-b010-063,panel_settled,928,9688.0900,9688.0900,0.0000,-311.9100,0.0000,27.3500,16,16,10,6,16,0.6250,1489.9100,-0.0312,16,0,1742443200,1789185600
sim-b010-066,batch-010,favorite_band_wide,favorite-band-wide-b010-066,panel_settled,928,9688.0900,9688.0900,0.0000,-311.9100,0.0000,27.3500,16,16,10,6,16,0.6250,1489.9100,-0.0312,16,0,1742443200,1789185600
sim-b016-002,batch-016,ma_crossover,ma-crossover-b016-002,panel_settled,930,9687.9600,9687.9600,0.0000,-312.0400,0.0000,110.5100,41,41,23,18,41,0.5610,3793.0400,-0.0312,41,0,1744344000,1788872400
sim-b016-006,batch-016,ma_crossover,ma-crossover-b016-006,panel_settled,931,9685.6400,9685.6400,0.0000,-314.3600,0.0000,48.1400,19,19,11,8,19,0.5789,1854.3600,-0.0314,19,0,1760349600,1788580800
sim-b018-045,batch-018,exit_price_target,exit-price-target-b018-045,panel_settled,932,9685.2600,9685.2600,0.0000,-314.7400,0.0000,36.5500,19,15,10,7,17,0.5882,1361.7200,-0.0315,17,0,1742443200,1788321600
sim-b007-047,batch-007,take_profit_favorite,take-profit-favorite-b007-047,panel_settled,933,9684.3900,9684.3900,0.0000,-315.6100,0.0000,49.1500,28,4,12,4,16,0.7500,406.2500,-0.0316,16,0,1742443200,1789444800
sim-b018-036,batch-018,exit_price_target,exit-price-target-b018-036,panel_settled,934,9683.2100,9683.2100,0.0000,-316.7900,0.0000,43.2900,27,5,10,6,16,0.6250,507.5600,-0.0317,16,0,1742443200,1789444800
sim-b013-069,batch-013,learned_recency_rate,learned-recency-rate-b013-069,panel_settled,935,9682.8300,9682.8300,0.0000,-317.1700,0.0000,123.5300,49,49,24,25,49,0.4898,4103.1700,-0.0317,49,0,1742443200,1788793200
sim-b018-035,batch-018,exit_breakeven_stop,exit-breakeven-stop-b018-035,panel_settled,936,9682.7300,9682.7300,0.0000,-317.2700,0.0000,48.5800,22,12,7,10,17,0.4118,1283.2700,-0.0317,17,0,1742443200,1788321600
sim-b007-075,batch-007,favorite_exit_reentry,favorite-exit-reentry-b007-075,panel_settled,937,9682.2000,9682.2000,0.0000,-317.8000,0.0000,126.4500,106,2,21,33,54,0.3889,434.5800,-0.0318,12,0,1742443200,1789531200
sim-b007-057,batch-007,take_profit_favorite,take-profit-favorite-b007-057,panel_settled,938,9681.7000,9681.7000,0.0000,-318.3000,0.0000,42.8000,26,6,11,5,16,0.6875,608.5700,-0.0318,16,0,1742443200,1789185600
sim-b018-069,batch-018,exit_partial_take,exit-partial-take-b018-069,panel_settled,939,9678.6800,9678.6800,0.0000,-321.3200,0.0000,44.6300,28,17,10,7,17,0.5882,1101.3403,-0.0321,17,0,1742443200,1789185600
sim-b018-006,batch-018,exit_time_stop,exit-time-stop-b018-006,panel_settled,940,9676.8100,9676.8100,0.0000,-323.1900,0.0000,65.5600,32,2,3,14,17,0.1765,323.1900,-0.0323,17,0,1742443200,1788580800
sim-b018-050,batch-018,exit_edge_gone,exit-edge-gone-b018-050,panel_settled,941,9676.5000,9676.5000,0.0000,-323.5000,0.0000,56.2500,30,4,7,10,17,0.4118,360.5200,-0.0324,17,0,1742443200,1788408000
sim-b007-004,batch-007,favorite_exit,favorite-exit-b007-004,panel_settled,942,9675.7800,9675.7800,0.0000,-324.2200,0.0000,58.0200,31,1,8,8,16,0.5000,342.9700,-0.0324,16,0,1742443200,1789444800
sim-b007-010,batch-007,favorite_exit,favorite-exit-b007-010,panel_settled,943,9674.4500,9674.4500,0.0000,-325.5500,0.0000,56.5900,30,2,7,9,16,0.4375,325.5500,-0.0326,16,0,1742443200,1789185600
sim-b001-009,batch-001,null_model,null-model-b001-009,panel_settled,944,9673.6100,9673.6100,0.0000,-326.3900,0.0000,71.1300,38,38,16,22,38,0.4211,2735.3900,-0.0326,38,0,1743652800,1788829200
