p,b,f,s,u,r,eq,cash,mtm,real,unreal,fees,n,sett,w,l,trips,wr,dd,roi,mkts,open,t0,t1
sim-b011-091,batch-011,placebo_event_leader,placebo-event-leader-b011-091,nobel_forward,1,10100.0000,9693.9200,406.0800,0.0000,100.0000,6.9200,3,0,0,0,0,,5.1800,0.0100,3,3,1760500800,1785729600
sim-b011-095,batch-011,placebo_event_leader,placebo-event-leader-b011-095,nobel_forward,1,10100.0000,9693.9200,406.0800,0.0000,100.0000,6.9200,3,0,0,0,0,,5.1800,0.0100,3,3,1760500800,1785729600
sim-b013-079,batch-013,uniform_field_prior,uniform-field-prior-b013-079,nobel_forward,1,10100.0000,9693.9200,406.0800,0.0000,100.0000,6.9200,3,0,0,0,0,,5.1800,0.0100,3,3,1760500800,1785729600
sim-b013-082,batch-013,uniform_field_prior,uniform-field-prior-b013-082,nobel_forward,4,10077.6800,9795.4400,282.2400,0.0000,77.6800,4.7600,2,0,0,0,0,,5.1800,0.0078,2,2,1760500800,1785729600
sim-b013-048,batch-013,learned_base_rate,learned-base-rate-b013-048,nobel_forward,5,10071.7600,9593.3600,478.4000,0.0000,71.7600,8.5200,4,0,0,0,0,,15.1200,0.0072,4,4,1760500800,1790262000
sim-b013-084,batch-013,uniform_field_prior,uniform-field-prior-b013-084,nobel_forward,6,10070.3100,9593.6700,476.6400,0.0000,70.3100,8.4400,4,0,0,0,0,,15.1200,0.0070,4,4,1760500800,1790262000
sim-b013-081,batch-013,uniform_field_prior,uniform-field-prior-b013-081,nobel_forward,7,10062.6500,9493.0200,569.6300,0.0000,62.6500,9.0100,5,0,0,0,0,,15.1200,0.0063,5,5,1760500800,1790262000
sim-b013-046,batch-013,learned_base_rate,learned-base-rate-b013-046,nobel_forward,8,10048.8300,9595.2400,453.5900,0.0000,48.8300,6.0200,4,0,0,0,0,,8.9000,0.0049,4,4,1760500800,1789617600
sim-b017-064,batch-017,cash_reserve_gate,cash-reserve-gate-b017-064,nobel_forward,9,10035.9000,8996.8000,1039.1000,0.0000,35.9000,8.2600,10,0,0,0,0,,4.0800,0.0036,10,10,1760500800,1778904000
sim-b013-013,batch-013,learned_bucket_calibration,learned-bucket-calibration-b013-013,nobel_forward,10,10025.9210,7877.1830,2148.7380,0.0000,25.9210,17.5300,22,0,0,0,0,,10.7900,0.0026,22,22,1760500800,1790136000
sim-b013-032,batch-013,learned_base_rate,learned-base-rate-b013-032,nobel_forward,11,10025.7200,9093.2600,932.4600,0.0000,25.7200,9.1700,9,0,0,0,0,,10.7900,0.0026,9,9,1760500800,1785211200
sim-b013-034,batch-013,learned_base_rate,learned-base-rate-b013-034,nobel_forward,11,10025.7200,9093.2600,932.4600,0.0000,25.7200,9.1700,9,0,0,0,0,,10.7900,0.0026,9,9,1760500800,1785211200
sim-b015-054,batch-015,liquidity_gate,liquidity-gate-b015-054,nobel_forward,13,10019.5880,8597.2320,1422.3560,0.0000,19.5880,6.9900,14,0,0,0,0,,5.2500,0.0020,14,14,1763096400,1789693200
sim-b013-086,batch-013,uniform_field_prior,uniform-field-prior-b013-086,nobel_forward,14,10019.1700,8886.6500,1132.5200,0.0000,19.1700,18.1600,11,0,0,0,0,,15.1200,0.0019,11,11,1760500800,1790262000
sim-b015-056,batch-015,liquidity_gate,liquidity-gate-b015-056,nobel_forward,15,10016.9800,9497.6400,519.3400,0.0000,16.9800,3.5000,5,0,0,0,0,,4.1300,0.0017,5,5,1763096400,1789531200
sim-b013-014,batch-013,learned_bucket_calibration,learned-bucket-calibration-b013-014,nobel_forward,16,10016.8900,8694.0800,1322.8100,0.0000,16.8900,11.5500,13,0,0,0,0,,11.5800,0.0017,13,13,1760500800,1785643200
sim-b013-002,batch-013,learned_bucket_calibration,learned-bucket-calibration-b013-002,nobel_forward,17,10015.8800,8980.2400,1035.6400,0.0000,15.8800,10.4600,11,0,0,0,0,,6.0200,0.0016,11,11,1760760000,1789617600
sim-b013-072,batch-013,learned_recency_rate,learned-recency-rate-b013-072,nobel_forward,18,10015.5600,8391.9000,1623.6600,0.0000,15.5600,13.7800,16,0,0,0,0,,10.7900,0.0016,16,16,1760500800,1787803200
sim-b015-058,batch-015,liquidity_gate,liquidity-gate-b015-058,nobel_forward,19,10014.5400,8597.6740,1416.8660,0.0000,14.5400,6.6500,14,0,0,0,0,,7.1700,0.0015,14,14,1763096400,1789693200
sim-b013-040,batch-013,learned_base_rate,learned-base-rate-b013-040,nobel_forward,20,10013.6900,9253.0700,760.6200,0.0000,13.6900,15.5300,13,0,0,0,0,,15.1200,0.0014,13,13,1760500800,1790262000
sim-b013-042,batch-013,learned_base_rate,learned-base-rate-b013-042,nobel_forward,20,10013.6900,9253.0700,760.6200,0.0000,13.6900,15.5300,13,0,0,0,0,,15.1200,0.0014,13,13,1760500800,1790262000
sim-b013-047,batch-013,learned_base_rate,learned-base-rate-b013-047,nobel_forward,22,10013.2500,8886.9800,1126.2700,0.0000,13.2500,18.4400,11,0,0,0,0,,15.1200,0.0013,11,11,1760500800,1790262000
sim-b013-068,batch-013,learned_recency_rate,learned-recency-rate-b013-068,nobel_forward,23,10011.9410,7893.2030,2118.7380,0.0000,11.9410,16.5100,21,0,0,0,0,,10.7900,0.0012,21,21,1760500800,1790136000
sim-b013-045,batch-013,learned_base_rate,learned-base-rate-b013-045,nobel_forward,24,10008.5900,8786.4900,1222.1000,0.0000,8.5900,19.1400,12,0,0,0,0,,15.1200,0.0009,12,12,1760500800,1790262000
sim-b015-083,batch-015,turnover_fade,turnover-fade-b015-083,nobel_forward,25,10004.7900,9899.9100,104.8800,0.0000,4.7900,0.9100,1,0,0,0,0,,2.0500,0.0005,1,1,1782964800,1782964800
sim-b015-084,batch-015,turnover_fade,turnover-fade-b015-084,nobel_forward,25,10004.7900,9899.9100,104.8800,0.0000,4.7900,0.9100,1,0,0,0,0,,2.0500,0.0005,1,1,1782964800,1782964800
sim-b013-031,batch-013,learned_base_rate,learned-base-rate-b013-031,nobel_forward,27,10000.4400,8091.0000,1909.4400,0.0000,0.4400,15.8100,19,0,0,0,0,,10.7900,0.0000,19,19,1760500800,1787803200
sim-b013-033,batch-013,learned_base_rate,learned-base-rate-b013-033,nobel_forward,27,10000.4400,8091.0000,1909.4400,0.0000,0.4400,15.8100,19,0,0,0,0,,10.7900,0.0000,19,19,1760500800,1787803200
sim-b013-043,batch-013,learned_base_rate,learned-base-rate-b013-043,nobel_forward,27,10000.4400,8091.0000,1909.4400,0.0000,0.4400,15.8100,19,0,0,0,0,,10.7900,0.0000,19,19,1760500800,1787803200
sim-b002-001,batch-002,favorite_band,favorite-band-b002-001,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-002,batch-002,favorite_band,favorite-band-b002-002,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-003,batch-002,favorite_band,favorite-band-b002-003,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-004,batch-002,favorite_band,favorite-band-b002-004,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-005,batch-002,favorite_band,favorite-band-b002-005,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-006,batch-002,favorite_band,favorite-band-b002-006,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-007,batch-002,favorite_band,favorite-band-b002-007,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-008,batch-002,favorite_band,favorite-band-b002-008,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-009,batch-002,favorite_band,favorite-band-b002-009,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-010,batch-002,favorite_band,favorite-band-b002-010,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-011,batch-002,favorite_band,favorite-band-b002-011,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-012,batch-002,favorite_band,favorite-band-b002-012,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-013,batch-002,favorite_band,favorite-band-b002-013,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-014,batch-002,favorite_band,favorite-band-b002-014,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-015,batch-002,favorite_band,favorite-band-b002-015,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-016,batch-002,favorite_band,favorite-band-b002-016,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-017,batch-002,favorite_band,favorite-band-b002-017,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-018,batch-002,favorite_band,favorite-band-b002-018,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-019,batch-002,favorite_band,favorite-band-b002-019,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-020,batch-002,favorite_band,favorite-band-b002-020,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-021,batch-002,favorite_band,favorite-band-b002-021,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-022,batch-002,favorite_band,favorite-band-b002-022,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-023,batch-002,favorite_band,favorite-band-b002-023,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-024,batch-002,favorite_band,favorite-band-b002-024,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-025,batch-002,favorite_band,favorite-band-b002-025,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-026,batch-002,favorite_band,favorite-band-b002-026,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-027,batch-002,favorite_band,favorite-band-b002-027,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-028,batch-002,favorite_band,favorite-band-b002-028,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-029,batch-002,favorite_band,favorite-band-b002-029,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-030,batch-002,favorite_band,favorite-band-b002-030,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-031,batch-002,favorite_band,favorite-band-b002-031,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-032,batch-002,favorite_band,favorite-band-b002-032,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-033,batch-002,favorite_band,favorite-band-b002-033,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-034,batch-002,favorite_band,favorite-band-b002-034,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-035,batch-002,favorite_band,favorite-band-b002-035,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-036,batch-002,favorite_band,favorite-band-b002-036,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-037,batch-002,favorite_band,favorite-band-b002-037,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-038,batch-002,favorite_band,favorite-band-b002-038,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-039,batch-002,favorite_band,favorite-band-b002-039,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-040,batch-002,favorite_band,favorite-band-b002-040,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-041,batch-002,favorite_band,favorite-band-b002-041,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-042,batch-002,favorite_band,favorite-band-b002-042,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-043,batch-002,favorite_band,favorite-band-b002-043,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-044,batch-002,favorite_band,favorite-band-b002-044,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-045,batch-002,favorite_band,favorite-band-b002-045,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-046,batch-002,favorite_band,favorite-band-b002-046,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-047,batch-002,favorite_band,favorite-band-b002-047,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-048,batch-002,favorite_band,favorite-band-b002-048,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-049,batch-002,favorite_band,favorite-band-b002-049,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-050,batch-002,favorite_band,favorite-band-b002-050,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-051,batch-002,favorite_band,favorite-band-b002-051,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-052,batch-002,favorite_band,favorite-band-b002-052,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-053,batch-002,favorite_band,favorite-band-b002-053,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-054,batch-002,favorite_band,favorite-band-b002-054,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-055,batch-002,favorite_band,favorite-band-b002-055,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-056,batch-002,favorite_band,favorite-band-b002-056,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-057,batch-002,favorite_band,favorite-band-b002-057,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-058,batch-002,favorite_band,favorite-band-b002-058,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-059,batch-002,favorite_band,favorite-band-b002-059,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-060,batch-002,favorite_band,favorite-band-b002-060,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-061,batch-002,favorite_band,favorite-band-b002-061,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-062,batch-002,favorite_band,favorite-band-b002-062,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-063,batch-002,favorite_band,favorite-band-b002-063,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-064,batch-002,favorite_band,favorite-band-b002-064,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-065,batch-002,favorite_band,favorite-band-b002-065,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-066,batch-002,favorite_band,favorite-band-b002-066,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-067,batch-002,favorite_band,favorite-band-b002-067,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-068,batch-002,favorite_band,favorite-band-b002-068,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-069,batch-002,favorite_band,favorite-band-b002-069,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-070,batch-002,favorite_band,favorite-band-b002-070,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-071,batch-002,favorite_band,favorite-band-b002-071,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-072,batch-002,favorite_band,favorite-band-b002-072,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-073,batch-002,favorite_band,favorite-band-b002-073,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-074,batch-002,favorite_band,favorite-band-b002-074,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-075,batch-002,favorite_band,favorite-band-b002-075,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-076,batch-002,favorite_band,favorite-band-b002-076,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-077,batch-002,favorite_band,favorite-band-b002-077,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-078,batch-002,favorite_band,favorite-band-b002-078,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-079,batch-002,favorite_band,favorite-band-b002-079,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-080,batch-002,favorite_band,favorite-band-b002-080,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-081,batch-002,favorite_band,favorite-band-b002-081,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-082,batch-002,favorite_band,favorite-band-b002-082,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-083,batch-002,favorite_band,favorite-band-b002-083,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-084,batch-002,favorite_band,favorite-band-b002-084,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-085,batch-002,favorite_band,favorite-band-b002-085,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-086,batch-002,favorite_band,favorite-band-b002-086,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-087,batch-002,favorite_band,favorite-band-b002-087,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-088,batch-002,favorite_band,favorite-band-b002-088,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-089,batch-002,favorite_band,favorite-band-b002-089,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-090,batch-002,favorite_band,favorite-band-b002-090,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-091,batch-002,favorite_band,favorite-band-b002-091,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-092,batch-002,favorite_band,favorite-band-b002-092,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-093,batch-002,favorite_band,favorite-band-b002-093,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-094,batch-002,favorite_band,favorite-band-b002-094,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-095,batch-002,favorite_band,favorite-band-b002-095,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-096,batch-002,favorite_band,favorite-band-b002-096,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-097,batch-002,favorite_band,favorite-band-b002-097,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-098,batch-002,favorite_band,favorite-band-b002-098,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-099,batch-002,favorite_band,favorite-band-b002-099,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b002-100,batch-002,favorite_band,favorite-band-b002-100,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b007-001,batch-007,favorite_exit,favorite-exit-b007-001,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b007-002,batch-007,favorite_exit,favorite-exit-b007-002,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b007-003,batch-007,favorite_exit,favorite-exit-b007-003,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b007-004,batch-007,favorite_exit,favorite-exit-b007-004,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b007-005,batch-007,favorite_exit,favorite-exit-b007-005,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b007-006,batch-007,favorite_exit,favorite-exit-b007-006,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b007-007,batch-007,favorite_exit,favorite-exit-b007-007,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
sim-b007-008,batch-007,favorite_exit,favorite-exit-b007-008,nobel_forward,30,10000.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,,0.0000,0.0000,0,0,,
